name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
nuummite,mineral variety,(mg2)(mg5)si8o22(oh)2,,"black, grey",,conchoidal,5.5 - 6.0,vitreous/glossy,,,,1.598 - 1.697 biaxial,0.0170 - 0.230,,,,,,,,780.82 gm,perfect on 210,,,opaque,,,,none,,2.85 - 3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrope,nesosilicate,mg3al2(sio4)3,cubic,"blood red to black red, red, orange red, pink,  some varieties are very dark, almost black, while others can take tones of purple to purple red, some chromium-rich pyropes are thermochromic, becoming green when heated.[2]","euhedra typically display rhombic dodecahedral form, but trapezohedra are not uncommon, and hexoctahedra are seen in some rare samples. massive and granular forms also occur.",conchoidal,7.0–7.5,greasy to vitreous[3],3.78+0.09−0.16 [3],vitreous[3],"single refractive, often anomalous double refractive[3]","1.74 normal, but ranges from 1.714 to over 1.742[3]","isotropic, appears black in cross-polarized light",none,inert,broad band at 564nm with cutoff at 440 to 445nm. fine gem quality pyropes may show chromium lines in the red end of the spectrum,prp[1],hexoctahedral (m3m) h–m symbol: (4/m 3 2/m),ia3d,,,none,,white,,,,9.ad.25,,,,,"insoluble in water, weakly soluble in hf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"olivine, pyroxene, hornblende, biotite, diamond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goosecreekite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charoite,silicate mineral,"k(ca,na)2si4o10(oh,f)•h2o",monoclinic,"violet, lilac, light brown","fibrous, massive",conchoidal,5 - 6,vitreous to pearly,2.54 - 2.58,,biaxial (+),nα = 1.550 nβ = 1.553 nγ = 1.559,0.009,,weakly fluorescent,,cha[1],prismatic (2/m) (same h-m symbol),p21/m,,,good in three directions,,white,translucent,,,,,,,,,,,, radioactive 10.69% (k),,,"al, fe, mn, sr, ba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corundum,oxide mineral – hematite group,"aluminium oxide, al2o3",trigonal,"colorless, gray, golden-brown, brown; purple, pink to red, orange, yellow, green, blue, violet; may be color zoned, asteriated mainly grey and brown","steep bipyramidal, tabular, prismatic, rhombohedral crystals, massive or granular",conchoidal to uneven,9 (defining mineral)[2],adamantine to vitreous,3.95–4.10,,uniaxial (−),nω = 1.767–1.772 nε = 1.759–1.763,,none,,,crn[1],hexagonal scalenohedral (3m)h-m symbol: (3 2/m),r3c (no. 167),"a = 4.75 å, c = 12.982 å; z = 6",,none – parting in 3 directions,brittle,colorless,"transparent, translucent to opaque",,infusible,4.cb.05,polysynthetic twinning common,4.3.1.1,,,insoluble,,,,may fluoresce or phosphoresce under uv light,,"2,044°c (3,711°f)",,,,,,,,,may alter to mica on surfaces causing a decrease in hardness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,any color except red,red,"black granular corundum intimately mixed with magnetite, hematite, or hercynite",,,,,,,,,,,,,,,,,,,,,,,,,,
stilbite,"tectosilicate, zeolite",stilbite-ca: naca4(si27al9)o72·28(h2o)stilbite-na: na9(si27al9)o72·28(h2o),"monoclinic, also triclinic and orthorhombic","usually colorless, white or pink","thin tabular, aggregates sheaf-like or in bow-ties, also fibrous and globular.",conchoidal or uneven,3+1⁄2 to 4,"vitreous, pearly on {010}",2.12 to 2.22,,biaxial (-),"nx = 1.479 to 1.492, ny = 1.485 to 1.500, nz = 1.489 to 1.505[2][3]
nx = 1.484 to 1.500, ny = 1.492 to 1.507, nz = 1.494 to 1.513[4][5]",,,,,stb[1],prismatic (2/m) (same h-m symbol),c2/m (monoclinic) amma (orthorhombic),,"stilbite-ca: 2,840 g/mol stilbite-na: 2,864 g/mol",perfect  on {010},brittle,white,transparent to translucent,,"easily fused by blowpipe (~1050 °c) to produce a white ""enamel""[6]",9.ge.10 (10 ed) 8/j.23-30 (8 ed),very common on {001},77.1.4.3,,,decomposes in hcl[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eilat stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adularia,silicate mineral,kalsi3o8,monoclinic,"colorless, greenish, greyish yellow, white, pink",can be anhedral or euhedral. grains are commonly elongate with a tabular appearance.,uneven,6 (defining mineral),"vitreous, pearly on cleavage surfaces",2.55–2.63,,"biaxial (−), 2v = 65–75",nα = 1.518–1.520  nβ = 1.522–1.524 nγ = 1.522–1.525,0.0050–0.0060,,,,or[1],prismatic (2/m) (same h–m symbol),c2/m,,,has perfect cleavage on {001} and good cleavage on {010}. cleavages intersect at 90°. it can be difficult to see cleavage in thin section due to orthoclase's low relief.,,white,transparent to translucent,,,9.fa.30,typically displays carlsbad twinning. baveno and manebach twins have also been reported in orthoclase.,,,relatively strong,,,,,low negative relief;alters to sericite or clay (commonly),,,,,,,,,,distinguishable from microcline by a lack in gridiron twinning. distinguishable from sanidine by a larger 2vx.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parallel to cleavage,,,,,,,,no slow or fast length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oregon sunstone,microcline or oligoclase and orthoclase variety,"(ca,na)((al,si)2si2o8)",triclinic,"colorless, orange, yellow, red, green, blue, brown and copper shiller","euhedral crystals, granular",,6.0–6.5,,2.64–2.66,,,1.525–1.58,,,,,,,,,,001,,,transparent to translucent and opaque,,,,lamellar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugilite,cyclosilicate,"kna2(fe,mn,al)2li3si12o30",hexagonal,"light brownish-yellow, purple, violet, reddish violet, pale pink, colorless","prismatic crystals, typically granular to massive",,6–6+1⁄2,vitreous,2.74,,uniaxial (-),nω = 1.610 nε = 1.607,δ = 0.003,weak,,,sug[1],dihexagonal dipyramidal (6/mmm) h-m symbol: (6/m 2/m 2/m),p6/mcc,"a = 10, c = 14[å]; z=2",,poor on {0001},,white,transparent to translucent,,,9.cm.05,,63.02.01a.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staurolite,nesosilicate,"fe2+2al9o6(sio4)4(o,oh)2[1]",monoclinic,"dark reddish brown to blackish brown, yellowish brown, rarely blue; pale golden yellow in thin section",commonly in prismatic crystals,subconchoidal,7 - 7.5,subvitreous to resinous,3.74 - 3.83 meas. 3.686 calc.,,biaxial (+),nα = 1.736 - 1.747 nβ = 1.740 - 1.754 nγ = 1.745 - 1.762,δ = 0.009 - 0.015,x = colorless; y = pale yellow; z = golden yellow,,,st[2],prismatic (2/m) (same h-m symbol),c2/m,"a = 7.86å, b = 16.6å c = 5.65å; β = 90.45°; z=2",,distinct on {010},brittle,white to grayish,transparent to opaque,"measured: 88°, calculated: 84° to 88°",,9.af.30,"commonly as 60° twins, less common as 90° cruciform twins",,,r > v; weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atacamite,halide mineral,cu2cl(oh)3,orthorhombic,"bright green, dark emerald-green to blackish green","slender prismatic crystals, fibrous, granular to compact, massive",conchoidal,3 - 3.5,adamantine to vitreous,3.745 – 3.776,,biaxial (-),nα = 1.831 nβ = 1.861 nγ = 1.880,δ = 0.049,x = pale green; y = yellow-green; z = grass-green,,,ata[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pnma,"a = 6.03, b = 9.12 c = 6.865[å]; z=4",,"perfect on {010}, fair on {101}",brittle,apple green,transparent to translucent,calculated: 74°,,3.da.10a,contact and penetration with complex twinned groupings,,,"r < v, strong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beudantite,arsenate minerals,pbfe3(oh)6so4aso4,trigonal,"black, dark green, brown, yellowish, red, greenish yellow, brown","tabular, acute rhombohedral, pseudo-cubic, pseudo-cuboctahedral",,3.5-4.5,"vitreous, resinous",4.48,,uniaxial (-),nω = 1.957 nε = 1.943,δ = 0.014,visible,,,bdn[1],hexagonal scalenohedral (3m) h-m symbol: (3 2/m),r3m,"a = 7.32å, c = 17.02å; z=3",,distinct; good on {0001},,grayish yellow to green,"transparent, translucent",,,8.bl.10,,43.4.1.1,,,,,,,soluble in hcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyroxmangite,inosilicate,mnsio3,triclinic,"pink, red, brown",,"hackly, uneven",5+1⁄2 – 6,"vitreous, pearly",3.8,,,,δ=0.018,,,,pxm[1],pinacoidal (1) (same h-m symbol),c1,"a = 9.69å, b = 10.5å, c = 17.39å; α = 112.17°, β = 102.85°, γ = 82.93°; v = 1,596.00å3; z=28",,"perfect on {110}, {110}, (110) ^ (110) = 92° poor on {010}, {001}",brittle,colorless,"transparent, translucent",,,9.do.05,"lamellar on {010}, simple on {001}",,,,,,,,"morphology: tabular crystals, granular massive, grainy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natrolite,tectosilicate,na2al2si3o10·2h2o,orthorhombic,"white, colorless, sometimes pink",acicular,"irregular, uneven",5-6,"vitreous, silky, pearly",2.25,,,,,,,,ntr[1],pyramidal (mm2) h–m symbol: (mm2),fdd2,"a = 18.27, b = 18.587 c = 6.56[å], z=8",380.22g/mol,perfect on {110},brittle,white,transparent to translucent,,,9.ga.05 (10 ed) 8/j.21-10 (8 ed),"on {110}, {011}, {031}",77.01.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ettringite,sulfate minerals,ca6al2(so4)3(oh)12·26h2o,trigonal,"colorless, pale yellow, milky white","acicular growth, striated prismatic crystals; fibrous to cottonlike",,2-2.5,vitreous,1.77,,uniaxial (-),"nω = 1.491, nε = 1.470",δ = 0.021,,non-fluorescent,,ett[1],ditrigonal pyramidal (3m) h-m symbol: (3m),p31c,"a = 11.23, c = 21.44[å]; z=2",,perfect on {1010},,white,transparent to opaque,,,7.dg.15,,,,,partially soluble in water,,,,,,,,,,,,,,,"partially dehydration on atmospheric exposure, becomes opaque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demantoid,mineral,ca3fe2si3o12,cubic,light to deep green,,,6.5–7.0,adamantine,3.84,,single refractive,1.880–1.889[1],,none,,,,,,,,,,,,,,,,,,0.057,,,,,,,,cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amethyst,silicate mineral,"silica (silicon dioxide, sio2)",trigonal,"purple, violet, dark purple",6-sided prism ending in 6-sided pyramid (typical),conchoidal,7–lower in impure varieties,vitreous/glassy,2.65 constant; variable in impure varieties,,uniaxial (+),nω = 1.543–1.553 nε = 1.552–1.554,+0.009 (b-g interval),weak to moderate purple/reddish purple,,,,trapezohedral (32),p3221 (no. 154),,,none,,white,transparent to translucent,,,,"dauphine law, brazil law, and japan law",,,,insoluble in common solvents,,,,piezoelectric,,1650±75°c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinnabar,sulfide mineral,"mercury(ii) sulfide, hgs",trigonal,"cochineal-red, towards brownish red and lead-gray",rhombohedral to tabular; granular to massive and as incrustations,uneven to subconchoidal,2.0–2.5,adamantine to dull,8.176,,uniaxial (+); very high relief,nω = 2.905 nε = 3.256,δ = 0.351,,,,cin[1],trapezohedral (32) (same h–m symbol),"p3121, p3221","a = 4.145(2)å, c = 9.496(2)å, z=3",,"prismatic {1010}, perfect",slightly sectile,scarlet,transparent in thin pieces,,,2.cd.15a,"simple contact twins, twin plane {0001}",,,,1.04×10−25g/100 ml water(ksp at 25°c = 2×10−32)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuchsite,silicate mineral,,monoclinic,light to medium green,curved aggregates,uneven,2.5,vitreous to pearly,2.8–2.9,,,,,,,,,,,,,perfect basal,,white,transparent to opaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
willemite,silicate mineral,zn2sio4,trigonal,"colorless to white, gray, black, flesh-red, burgundy-red, pink, brown, dark brown, mahogany-brown, honey-yellow, yellow, apple-green, blue, pastel green, light blue, azure-blue","fibrous, botryoidal to massive",irregular to conchoidal,5.5,vitreous to resinous,3.9– 4.2,,uniaxial (+),nω = 1.691– 1.694 nε = 1.719– 1.725,δ = 0.028,,,,wlm[1],rhombohedral (3)  (same h-m symbol),r3,,,"{0001}, {1120} - imperfect",,,transparent to opaque,,,9.aa.05 (10 ed) 8/a.01-20 (8 ed),,51.1.1.2,,,,,,,strongly fluorescent; may be phosphorescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zinc is partly replaced by manganese,,,,,,,,,,,,,,,,,,,,,,,,,
cuprite,oxide mineral,cu2o,cubic,"dark red to conchineal red, sometimes almost black","cubic, octahedral, and dodecahedral crystals; as hairlike capillary forms, earthy, compact granular and massive",conchoidal to uneven,3.5 to 4,"adamantine, sub-metallic, earthy",6.14,,isotropic,n = 2.849,,visible,,,cpr[1],hexoctahedral (m3m) h-m symbol: (4/m 3 2/m),pn3m,a = 4.2685å; v = 77.77å3; z=2,,fair in four directions forming octahedrons,brittle,shining metallic brownish-red,"transparent, translucent",,,4.aa.10,penetration twins,4.1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wardite,phosphate minerals,naal3(po4)2(oh)4·2(h2o),tetragonal,"white, colorless, pale green, blue-green, yellow-green, pale yellow, yellow pink.","dipyramidal pseudo-octahedral crystals, striated; radial, fibrous, encrustations",,5,vitreous,2.81 - 2.87,,uniaxial (+),nω = 1.586 - 1.594 nε = 1.595 - 1.604,δ = 0.009,,,,wd[1],trapezohedral (422) h-m symbol: (4 2 2),p41212,"a = 7.03(1), c = 19.04(1)å; z=4",,perfect on {001},,,transparent to opaque,0.0,,8.dl.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microlite,oxide minerals,"(na,ca)2ta2o6(o,oh,f)",cubic,,,,,,,,,,,,,,mic[1],,fd3m (no. 227),,,,,,,,,04.dh.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pumpellyite,sorosilicate,,monoclinic,olive green to bluish green,,uneven,5.5-6,"vitreous, dull",3.2,,,,,,,,pmp[1],prismatic (2/m) (same h-m symbol),a2/m,,,good in two directions,brittle,white,translucent,,,9.bg.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seraphinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jade,mineral,,monoclinic,"virtually all colors, mostly green",intergrown grainy or fine fibrous aggregate,splintery,6–7,,2.9–3.38,,,1.600–1.688,0.020–0.027,absent,,,,,,,,none,brittle,,"translucent, opaque",,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,翡翠,fěicuì,[fèɪ.tsʰwêɪ],yuhk,fei2ceoi3,húi-chhùi,hui1cui3,ngọc,"옥, 비취","玉, 翡翠","ok, bichwi","玉, 翡翠","gyoku, hisui",,,,,,,,,,,,
hemimorphite,sorosilicates,zn4si2o7(oh)2·h2o,orthorhombic,"white, grey","polar crystals, with different or hemimorphic ends. also coxcomb masses, mammillary, stalactitic, or massive",uneven to conchoidal,4.5-5,"vitreous, adamantine, rarely silky",3.516 - 3.525,,biaxial (+),nα = 1.614 nβ = 1.617 nγ = 1.636,δ = 0.022,,,,hmp[1],pyramidal (mm2) h-m symbol: (mm2),imm2,"a = 8.367(5), b = 10.73 c = 5.155(3)[å]; z=2",,"perfect on {110}, poor on {101}, {001} rare",brittle,white,transparent to translucent,"measured: 46°, calculated: 44°",,9.bd.10,rare on {001},,,,soluble in acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogrossular,nesosilicate,ca3al2(sio4)3−x(oh)4x,cubic,"green to bluish green, pink, white, gray",massive,conchoidal,7–7.5,vitreous,4.15+0.05−0.03,vitreous to subadamantine,"single refractive, anomalous aggregate reaction",1.810+0.004−0.020,none,none,inert,"dark green hydrogrossular often shows cutoff below 460 nm. other color stones may show line around 463 nm, indicating some idocrase content",hgrs[1],,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helenite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancrinite,feldspathoid,na6ca2[(co3)2|al6si6o24]·2h2o,hexagonal,"grey-green, white, yellow, blue, orange, reddish",rare as prismatic crystals; typically massive,irregular/uneven,5–6,"vitreous, greasy, pearly",2.42 – 2.51,,uniaxial (+/-),nω = 1.507 – 1.528 nε = 1.495 – 1.503,δ = 0.012 – 0.025,,,,ccn[1],pyramidal (6) (same h-m symbol),p63,"a = 12.67(9)å, c = 5.15(4)å; z=1",,"perfect on {1010}, poor on {0001}",brittle,white,"transparent, translucent",,,9.fb.05,rare – lamellar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosean,sodalite - (feldspathoid),na8al6si6o24(so4),cubic,,,,,,,,,,,,,,nsn[1],hextetrahedral (43m) h-m symbol: (4 3m),p43m,,,,,,,,,9.fb.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rutile,oxide minerals,tio2,tetragonal,"brown, reddish brown, blood red, red, brownish yellow, pale yellow, yellow, pale blue, violet, rarely grass-green, grayish black; black if high in nb–ta","acicular to prismatic crystals, elongated and striated parallel to [001]",uneven to sub-conchoidal,6.0–6.5,adamantine to metallic,4.23 increasing with nb–ta content,,uniaxial (+),"nω = 2.613, nε = 2.909 (589nm)",0.296 (589nm),weak to distinct brownish red-green-yellow,,,rt[1],ditetragonal dipyramidal (4/mmm) h-m symbol: (4/m 2/m 2/m),p42/mnm,"a = 4.5937å, c = 2.9587å; z=2",,"{110} good, {100} moderate, parting on {092} and {011}",,bright red to dark red,"opaque, transparent in thin fragments",,fusible in alkali carbonates,4.db.05,"common on {011}, or {031}; as contact twins with two, six, or eight individuals, cyclic, polysynthetic",,,strong,insoluble in acids,,,,strongly anisotropic,,,"fe, nb, ta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyanite,nesosilicate,al2sio5,triclinic,"blue, white, rarely green, light gray to gray, rarely yellow, pink, orange, and black, can be zoned",columnar; fibrous; bladed,splintery,4.5-5 parallel to one axis  6.5-7 perpendicular to that axis,vitreous to white,3.53 - 3.65 measured; 3.67 calculated,,biaxial (-); high relief,nα = 1.712 - 1.718 nβ = 1.720 - 1.725 nγ = 1.727 - 1.734,δ = 0.012 - 0.016,"trichroic, colorless to pale blue to blue",,,ky[1],pinacoidal (1) (same h-m symbol),p1,"a = 7.1262(12)å b = 7.852(10)å c = 5.5724(10)å α = 89.99(2)°, β = 101.11(2)° γ = 106.03(1)°; z=4",,[100] perfect [010] imperfect with 79° angle between,brittle,white,transparent to translucent,78°-83°,,9.af.15,lamellar on {100},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boracite,tektoborates,mg3b7o13cl,orthorhombic,"colorless, white, gray, brown, orange, yellow, pale green, dark green, blue-green, or blue; colorless in transmitted light","crystalline, disseminated (pseudocubic)","irregular/uneven, conchoidal",7 - 7.5,vitreous - adamantine,2.95,,biaxial (+),"nα=1.658 - 1.662,nβ=1.662 - 1.667,nγ=1.668 - 1.673",δ = 0.010–0.011,none,none,,boc[1],pyramidal (mm2) (same h-m symbol),pca21,"a = 8.577(6)å, b = 8.553(8)å, c = 12.09(1)å; z=4",392.03 g/mol,none,brittle,white,subtransparent to translucent,82°,,6.ga.05,rarely as penetration twins,25.06.01.01,2.91 - 3.10,0.024 (weak),very slowly soluble in h2o; slowly but completely soluble in hcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
